latitude,longitude,population
10.6626389,122.3209722,4.097021
10.6623611,122.3204167,4.097021
10.6640278,122.3229167,4.097021
10.6634722,122.3215278,4.097021
10.6631944,122.3220833,4.097021
10.6629167,122.3220833,4.097021
10.6626389,122.3220833,4.097021
10.6629167,122.32125,4.097021
10.6620833,122.32125,4.097021
10.6640278,122.3226389,4.097021
10.6626389,122.3215278,4.097021
10.6623611,122.32125,4.097021
10.6629167,122.3218056,4.097021
10.6631944,122.32125,4.097021
10.6618056,122.3223611,4.097021
10.6623611,122.3209722,4.097021
10.6626389,122.32125,4.097021
10.66125,122.3215278,4.097021
10.6629167,122.3215278,4.097021
10.6620833,122.3215278,4.097021
10.6623611,122.3215278,4.097021
10.66375,122.3226389,4.097021
10.6615278,122.3209722,4.097021
10.6629167,122.3209722,4.097021
10.6618056,122.32125,4.097021
10.6615278,122.3215278,4.097021
10.66375,122.3223611,4.097021
10.6640278,122.3223611,4.097021
10.66125,122.3218056,4.097021
10.6626389,122.3206944,4.097021
10.6615278,122.3218056,4.097021
10.6634722,122.3218056,4.097021
10.6634722,122.32125,4.097021
10.6643056,122.3229167,4.097021
10.6618056,122.3209722,4.097021
10.6626389,122.3204167,4.097021
10.6631944,122.3215278,4.097021
10.6623611,122.3218056,4.097021
10.6620833,122.3218056,4.097021
10.6618056,122.3220833,4.097021
10.6620833,122.3206944,4.097021
10.3945833,119.3656944,0.893739
10.3876389,119.3768056,0.893739
10.3643056,119.4243056,0.893739
10.3865278,119.3770833,0.893739
10.3873611,119.37625,0.893739
10.3793056,119.4145833,0.893739
10.3809722,119.4148611,0.893739
10.39875,119.3926389,0.893739
10.37875,119.41375,0.893739
10.3893056,119.3759722,0.893739
10.3909722,119.4029167,0.893739
10.4026389,119.3843056,0.893739
10.3893056,119.3731944,0.893739
10.3745833,119.3740278,0.893739
10.3895833,119.3740278,0.893739
10.3973611,119.3893056,0.893739
10.3929167,119.3659722,0.893739
10.38875,119.3754167,0.893739
10.3951389,119.3706944,0.893739
10.3790278,119.4145833,0.893739
10.38625,119.3756944,0.893739
10.41125,119.3706944,0.893739
10.4051389,119.3659722,0.893739
10.4154167,119.3745833,0.893739
10.3979167,119.3720833,0.893739
10.3868056,119.37625,0.893739
10.3976389,119.3718056,0.893739
10.3756944,119.4154167,0.893739
10.37625,119.3734722,0.893739
10.3790278,119.4143056,0.893739
10.3976389,119.3745833,0.893739
10.4151389,119.3745833,0.893739
10.38625,119.3754167,0.893739
10.3859722,119.3759722,0.893739
10.36125,119.39125,0.893739
10.4195833,119.3779167,0.893739
10.3565278,119.3906944,0.893739
10.3601389,119.3851389,0.893739
10.3876389,119.3826389,0.893739
10.3504167,119.3865278,0.893739
10.3684722,119.4179167,0.893739
10.3584722,119.4234722,0.893739
10.3926389,119.3659722,0.893739
10.3948611,119.3704167,0.893739
10.3981944,119.3720833,0.893739
10.3904167,119.3831944,0.893739
10.3581944,119.3845833,0.893739
10.3893056,119.3734722,0.893739
10.3601389,119.3854167,0.893739
10.3645833,119.4251389,0.893739
10.3576389,119.3856944,0.893739
10.3601389,119.3865278,0.893739
10.3648611,119.3884722,0.893739
10.3598611,119.38625,0.893739
10.3604167,119.3906944,0.893739
10.3990278,119.3718056,0.893739
10.4006944,119.3718056,0.893739
10.4206944,119.3784722,0.893739
10.4020833,119.36875,0.893739
